                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3462,                 1.0022,                 1.7706,                0.84244,                0.84667,                0.91023,                0.59326,                 1.2508,                0.83961,                 1.7107,              0.0015644,              0.0015644,              0.0015644
                     36,                 1.3279,                 1.0032,                  1.752,                0.79445,                0.83766,                0.88268,                 0.5691,                 1.2301,                0.95699,                 1.6835,              0.0015512,              0.0015512,              0.0015512
                     37,                 1.3147,                0.97743,                 1.7329,                0.79701,                0.83239,                0.86174,                0.53858,                 1.2482,                0.92473,                 1.7256,               0.001538,               0.001538,               0.001538
                     38,                 1.3092,                 0.9632,                  1.718,                0.84501,                0.86095,                0.91525,                 0.6117,                 1.1789,                0.77184,                  1.648,              0.0015248,              0.0015248,              0.0015248
                     39,                 1.2898,                0.95164,                   1.72,                0.81992,                0.86918,                 0.9093,                 0.6076,                  1.174,                0.76421,                  1.634,              0.0015116,              0.0015116,              0.0015116
                     40,                 1.3066,                0.93398,                 1.7181,                0.83916,                0.85683,                0.90348,                0.60133,                 1.1756,                0.79337,                 1.6418,              0.0014984,              0.0014984,              0.0014984
                     41,                 1.3057,                0.96076,                 1.7184,                0.84492,                0.86246,                0.92331,                0.62134,                 1.1806,                0.76262,                  1.624,              0.0014852,              0.0014852,              0.0014852
                     42,                 1.3116,                0.95322,                 1.7115,                0.83594,                0.85494,                0.91109,                0.60798,                 1.1858,                0.80556,                 1.6593,               0.001472,               0.001472,               0.001472
                     43,                 1.2971,                0.92654,                 1.7076,                0.84123,                0.86697,                0.91688,                0.62102,                 1.1541,                0.75993,                 1.6239,              0.0014588,              0.0014588,              0.0014588
                     44,                 1.2745,                0.89558,                 1.6945,                0.85371,                 0.8726,                0.92094,                0.62241,                 1.1556,                 0.7353,                 1.6228,              0.0014456,              0.0014456,              0.0014456
                     45,                 1.2595,                0.91512,                  1.695,                0.81815,                0.87752,                0.90655,                0.59615,                 1.2176,                0.76077,                  1.636,              0.0014324,              0.0014324,              0.0014324
                     46,                 1.2471,                0.88924,                 1.6718,                0.84782,                0.87486,                0.91985,                0.61088,                 1.2035,                 0.7704,                 1.6735,              0.0014192,              0.0014192,              0.0014192
                     47,                 1.2344,                0.90043,                 1.6607,                0.86248,                0.85757,                0.92315,                0.62796,                 1.1475,                0.72722,                 1.6089,               0.001406,               0.001406,               0.001406
                     48,                 1.2521,                0.90236,                 1.6824,                0.85329,                0.86775,                0.92034,                0.61841,                 1.1637,                0.76452,                 1.6254,              0.0013928,              0.0013928,              0.0013928
                     49,                 1.2613,                0.90052,                 1.6761,                0.86524,                0.86859,                0.93461,                0.63547,                 1.1468,                0.69239,                 1.5967,              0.0013796,              0.0013796,              0.0013796
                     50,                 1.2388,                0.88782,                 1.6881,                0.84897,                0.88089,                0.92992,                 0.6299,                 1.1506,                  0.723,                 1.6168,              0.0013664,              0.0013664,              0.0013664
                     51,                  1.263,                0.90452,                 1.6793,                0.85922,                0.88307,                0.93476,                0.63592,                 1.1384,                0.71006,                 1.6002,              0.0013532,              0.0013532,              0.0013532
                     52,                 1.2608,                0.89412,                  1.687,                0.84514,                0.87986,                0.91653,                0.61498,                 1.1858,                0.71619,                 1.6037,                0.00134,                0.00134,                0.00134
                     53,                 1.2315,                0.85565,                 1.6511,                0.84652,                0.88688,                0.93158,                 0.6469,                 1.0999,                0.71516,                  1.569,              0.0013268,              0.0013268,              0.0013268
                     54,                 1.2364,                   0.85,                 1.6619,                0.84041,                0.89703,                 0.9257,                0.63918,                 1.1054,                0.70154,                 1.5643,              0.0013136,              0.0013136,              0.0013136
                     55,                 1.2133,                0.86687,                   1.65,                0.83921,                 0.9038,                0.92534,                0.63153,                 1.1079,                 0.7563,                 1.5658,              0.0013004,              0.0013004,              0.0013004
                     56,                 1.2206,                0.88648,                 1.6578,                0.86801,                0.88477,                0.93609,                0.64493,                 1.1278,                0.69209,                  1.602,              0.0012872,              0.0012872,              0.0012872
                     57,                  1.224,                0.85324,                 1.6409,                0.85979,                0.88726,                0.93315,                0.63874,                 1.1097,                0.67767,                 1.5578,               0.001274,               0.001274,               0.001274
                     58,                 1.2179,                0.84544,                 1.6448,                 0.8696,                0.88464,                0.93453,                0.65074,                 1.1125,                0.70323,                 1.5582,              0.0012608,              0.0012608,              0.0012608
                     59,                  1.215,                0.85696,                 1.6254,                0.85021,                0.90943,                 0.9365,                0.64684,                 1.1019,                 0.7002,                 1.5524,              0.0012476,              0.0012476,              0.0012476
                     60,                 1.2146,                0.84751,                 1.6312,                0.86031,                0.87718,                0.92975,                0.62625,                 1.1628,                0.70366,                 1.6329,              0.0012344,              0.0012344,              0.0012344
                     61,                 1.2474,                0.84435,                 1.6614,                 0.8431,                0.92033,                0.93808,                0.65365,                 1.0874,                0.66538,                 1.5342,              0.0012212,              0.0012212,              0.0012212
                     62,                  1.236,                0.83898,                 1.6505,                0.87085,                0.90342,                0.94253,                0.65727,                 1.0895,                 0.6423,                 1.5401,               0.001208,               0.001208,               0.001208
                     63,                 1.1818,                 0.8235,                 1.5967,                0.87545,                0.88688,                0.94205,                0.65088,                 1.1196,                0.66106,                 1.5546,              0.0011948,              0.0011948,              0.0011948
                     64,                 1.1982,                0.82825,                 1.6241,                0.85604,                0.88688,                0.92793,                 0.6286,                 1.1122,                0.72535,                 1.5755,              0.0011816,              0.0011816,              0.0011816
                     65,                 1.1756,                0.79954,                 1.6075,                0.86079,                0.90116,                0.94473,                0.66783,                 1.0781,                0.63535,                  1.532,              0.0011684,              0.0011684,              0.0011684
                     66,                  1.182,                0.80757,                 1.6021,                0.87225,                0.90342,                 0.9443,                 0.6464,                 1.1408,                0.64224,                 1.5629,              0.0011552,              0.0011552,              0.0011552
                     67,                 1.1702,                0.78968,                 1.6078,                0.85966,                0.91616,                0.94292,                0.66837,                 1.0677,                0.66502,                 1.5313,               0.001142,               0.001142,               0.001142
                     68,                   1.17,                0.80888,                 1.6012,                 0.8575,                0.91137,                0.93669,                0.65226,                 1.0743,                0.64506,                 1.5354,              0.0011288,              0.0011288,              0.0011288
                     69,                  1.171,                0.80842,                 1.6061,                0.86956,                0.90154,                0.94352,                0.65976,                 1.0779,                 0.7058,                 1.5407,              0.0011156,              0.0011156,              0.0011156
                     70,                 1.1782,                0.79662,                 1.5998,                0.87852,                0.89684,                0.94503,                 0.6754,                 1.0479,                0.61165,                 1.4948,              0.0011024,              0.0011024,              0.0011024
                     71,                 1.1638,                 0.7991,                 1.5969,                0.88402,                0.90567,                0.94964,                0.66907,                 1.0676,                0.63229,                 1.5188,              0.0010892,              0.0010892,              0.0010892
                     72,                 1.1507,                0.78497,                  1.586,                0.89868,                0.89333,                0.95116,                0.67474,                 1.0787,                0.60931,                  1.522,               0.001076,               0.001076,               0.001076
                     73,                 1.1573,                0.77867,                 1.5819,                0.87222,                0.91732,                0.94912,                0.67683,                 1.0374,                0.62424,                 1.4994,              0.0010628,              0.0010628,              0.0010628
                     74,                 1.1671,                0.78458,                 1.5875,                0.87409,                0.91047,                0.94983,                0.68386,                 1.0289,                0.61936,                 1.4808,              0.0010496,              0.0010496,              0.0010496
                     75,                 1.1419,                0.77831,                 1.5775,                0.89434,                0.90304,                0.95252,                0.67992,                 1.0509,                0.60372,                 1.5001,              0.0010364,              0.0010364,              0.0010364
                     76,                 1.1533,                 0.7739,                 1.5735,                0.87742,                0.90267,                0.94687,                0.67206,                 1.0719,                0.59889,                 1.5091,              0.0010232,              0.0010232,              0.0010232
                     77,                  1.137,                0.76455,                 1.5675,                0.88836,                0.90907,                0.95539,                0.69111,                 1.0243,                0.58579,                 1.4818,                0.00101,                0.00101,                0.00101
                     78,                 1.1802,                 0.7782,                 1.6026,                0.87784,                0.90906,                0.94934,                0.67912,                 1.0424,                0.63362,                 1.4952,              0.0009968,              0.0009968,              0.0009968
                     79,                 1.1687,                0.78334,                 1.5873,                0.88299,                0.91598,                0.95444,                0.68477,                 1.0322,                0.60436,                 1.4803,              0.0009836,              0.0009836,              0.0009836
                     80,                 1.1484,                0.76602,                 1.5728,                0.88567,                0.91993,                0.95157,                 0.6821,                 1.0465,                0.62691,                  1.489,              0.0009704,              0.0009704,              0.0009704
                     81,                 1.1345,                0.75032,                 1.5661,                0.88704,                0.91094,                0.95181,                0.69155,                 1.0059,                0.59278,                 1.4738,              0.0009572,              0.0009572,              0.0009572
                     82,                 1.1479,                0.75157,                 1.5647,                0.89055,                0.91995,                0.95565,                 0.6921,                 1.0295,                0.57679,                 1.4814,               0.000944,               0.000944,               0.000944
